series,timestamp,value,label
pressure,2023-09-19T01:37:50.000Z,712.21186,
pressure,2023-09-19T01:57:50.000Z,712.30353,
pressure,2023-09-19T02:17:50.000Z,712.19119,
pressure,2023-09-19T02:37:50.000Z,712.8911,
pressure,2023-09-19T02:57:50.000Z,712.96867,
pressure,2023-09-19T03:17:50.000Z,713.06788,
pressure,2023-09-19T03:37:50.000Z,713.21884,
pressure,2023-09-19T03:57:50.000Z,713.2622,
pressure,2023-09-19T04:17:50.000Z,713.44757,
pressure,2023-09-19T04:37:50.000Z,713.3744,
pressure,2023-09-19T04:57:50.000Z,713.43914,
pressure,2023-09-19T05:17:50.000Z,713.41332,
pressure,2023-09-19T05:37:50.000Z,713.37904,
pressure,2023-09-19T05:57:50.000Z,713.33161,
pressure,2023-09-19T06:17:50.000Z,713.43501,
pressure,2023-09-19T06:37:50.000Z,713.55153,
pressure,2023-09-19T06:57:50.000Z,713.50834,
pressure,2023-09-19T07:17:50.000Z,713.42614,
pressure,2023-09-19T07:37:50.000Z,713.40032,
pressure,2023-09-19T07:57:50.000Z,713.36148,
pressure,2023-09-19T08:17:50.000Z,713.32723,
pressure,2023-09-19T08:37:50.000Z,713.27549,
pressure,2023-09-19T08:57:50.000Z,713.15059,
pressure,2023-09-19T09:17:50.000Z,713.12476,
pressure,2023-09-19T09:37:50.000Z,713.0209,
pressure,2023-09-19T09:57:50.000Z,712.96915,
pressure,2023-09-19T10:17:50.000Z,712.93473,
pressure,2023-09-19T10:37:50.000Z,712.8224,
pressure,2023-09-19T10:57:50.000Z,712.67575,
pressure,2023-09-19T11:17:50.000Z,712.6326,
pressure,2023-09-19T11:37:50.000Z,712.58085,
pressure,2023-09-19T11:57:50.000Z,712.58501,
pressure,2023-09-19T12:17:50.000Z,712.49885,
pressure,2023-09-19T12:37:50.000Z,712.4303,
pressure,2023-09-19T12:57:50.000Z,712.51145,
pressure,2023-09-19T13:17:50.000Z,711.8351,
pressure,2023-09-19T13:37:50.000Z,711.90711,
pressure,2023-09-19T13:57:50.000Z,711.65684,
pressure,2023-09-19T14:17:50.000Z,710.64995,
pressure,2023-09-19T14:37:50.000Z,710.32598,
pressure,2023-09-19T14:57:50.000Z,710.05464,
pressure,2023-09-19T15:17:50.000Z,710.46895,
pressure,2023-09-19T15:37:50.000Z,713.41439,
pressure,2023-09-19T15:57:50.000Z,713.05829,
pressure,2023-09-19T16:17:50.000Z,713.18217,
pressure,2023-09-19T16:37:50.000Z,712.54797,
pressure,2023-09-19T16:57:50.000Z,712.69534,
pressure,2023-09-19T17:17:50.000Z,713.69954,
pressure,2023-09-19T17:37:50.000Z,713.49753,
pressure,2023-09-19T17:57:50.000Z,713.43714,
pressure,2023-09-19T18:17:50.000Z,713.13934,
pressure,2023-09-19T18:37:50.000Z,713.0563,
pressure,2023-09-19T18:57:50.000Z,712.86242,
pressure,2023-09-19T19:17:50.000Z,712.55345,
pressure,2023-09-19T19:37:50.000Z,712.63065,
pressure,2023-09-19T19:57:50.000Z,712.4966,
pressure,2023-09-19T20:17:50.000Z,712.17318,
pressure,2023-09-19T20:37:50.000Z,712.00448,
pressure,2023-09-19T20:57:50.000Z,712.46939,
pressure,2023-09-19T21:17:50.000Z,712.2062,
pressure,2023-09-19T21:37:50.000Z,711.60678,
pressure,2023-09-19T21:57:50.000Z,711.77403,
pressure,2023-09-19T22:17:50.000Z,711.6747,
pressure,2023-09-19T22:37:50.000Z,711.2381,
pressure,2023-09-19T22:57:50.000Z,711.14304,
pressure,2023-09-19T23:17:50.000Z,711.63119,
pressure,2023-09-19T23:37:50.000Z,712.05651,
pressure,2023-09-19T23:57:50.000Z,712.02212,
pressure,2023-09-20T00:17:50.000Z,712.26914,
pressure,2023-09-20T00:37:50.000Z,712.55891,
pressure,2023-09-20T00:57:50.000Z,712.31624,
pressure,2023-09-20T01:17:50.000Z,711.93309,
pressure,2023-09-20T01:37:50.000Z,711.87622,
pressure,2023-09-20T01:57:50.000Z,711.71567,
pressure,2023-09-20T02:17:50.000Z,712.26968,
pressure,2023-09-20T02:37:50.000Z,711.96318,
pressure,2023-09-20T02:57:50.000Z,712.06242,
pressure,2023-09-20T03:17:50.000Z,712.18334,
pressure,2023-09-20T03:37:50.000Z,712.26984,
pressure,2023-09-20T03:57:50.000Z,712.35187,
pressure,2023-09-20T04:17:50.000Z,712.43373,
pressure,2023-09-20T04:37:50.000Z,712.43819,
pressure,2023-09-20T04:57:50.000Z,712.39917,
pressure,2023-09-20T05:17:50.000Z,712.41207,
pressure,2023-09-20T05:37:50.000Z,712.35154,
pressure,2023-09-20T05:57:50.000Z,712.23493,
pressure,2023-09-20T06:17:50.000Z,712.02374,
pressure,2023-09-20T06:37:50.000Z,711.90767,
pressure,2023-09-20T06:57:50.000Z,711.76039,
pressure,2023-09-20T07:17:50.000Z,711.68692,
pressure,2023-09-20T07:37:50.000Z,711.58788,
pressure,2023-09-20T07:57:50.000Z,711.523,
pressure,2023-09-20T08:17:50.000Z,711.38915,
pressure,2023-09-20T08:37:50.000Z,711.28581,
pressure,2023-09-20T08:57:50.000Z,711.09994,
pressure,2023-09-20T09:17:50.000Z,711.07368,
pressure,2023-09-20T09:37:50.000Z,710.8837,
pressure,2023-09-20T09:57:50.000Z,710.65051,
pressure,2023-09-20T10:17:50.000Z,710.5206,
pressure,2023-09-20T10:37:50.000Z,710.39525,
pressure,2023-09-20T10:57:50.000Z,710.42988,
pressure,2023-09-20T11:17:50.000Z,710.33456,
pressure,2023-09-20T11:37:50.000Z,710.23954,
pressure,2023-09-20T11:57:50.000Z,710.17025,
pressure,2023-09-20T12:17:50.000Z,710.13561,
pressure,2023-09-20T12:37:50.000Z,710.08903,
pressure,2023-09-20T12:57:50.000Z,709.95015,
pressure,2023-09-20T13:17:50.000Z,709.37234,
pressure,2023-09-20T13:37:50.000Z,709.24549,
pressure,2023-09-20T13:57:50.000Z,707.94079,
pressure,2023-09-20T14:17:50.000Z,707.67025,
pressure,2023-09-20T14:37:50.000Z,707.72017,
pressure,2023-09-20T14:57:50.000Z,708.1441,
pressure,2023-09-20T15:17:50.000Z,707.80479,
pressure,2023-09-20T15:37:50.000Z,707.73694,
pressure,2023-09-20T15:57:50.000Z,707.86586,
